UIK,voters,voted mobile,voted stationary,Turnout,Video
581,1845,128,719,0.459078590785908,1
582,2307,141,1071,0.525357607282185,1
583,1665,68,827,0.537537537537538,1
584,1675,67,794,0.514029850746269,1
585,1791,54,809,0.481853713009492,1
586,1529,64,604,0.436886854153041,1
587,1610,116,721,0.519875776397515,1
588,1736,154,717,0.501728110599078,1
589,2518,6,726,0.290706910246227,1
590,1599,121,736,0.535959974984365,1
591,1841,103,640,0.403585008147746,1
592,1906,206,706,0.478488982161595,1
593,2193,117,850,0.440948472412221,1
594,1840,78,659,0.40054347826087,1
595,2136,206,656,0.403558052434457,1
596,2150,85,617,0.326511627906977,1
597,2481,96,836,0.37565497783152,1
598,2003,110,706,0.407388916625062,1
599,1987,101,702,0.404126824358329,1
600,1980,86,672,0.382828282828283,1
601,1902,243,668,0.478969505783386,1
602,1489,81,532,0.411685695097381,1
603,1645,90,803,0.542857142857143,1
604,2059,221,831,0.510927634774162,1
605,2073,132,1187,0.636275928605885,1
606,2059,104,926,0.500242836328315,1
607,1642,94,916,0.61510353227771,1
608,376,16,172,0.5,0
1738,1635,37,963,0.611620795107034,0
3671,1830,111,1006,0.610382513661202,1
3672,1390,7,888,0.643884892086331,1
3673,1702,75,1048,0.659811985898942,1
3677,1478,25,618,0.435047361299053,1
3678,1480,84,789,0.589864864864865,1
3679,1747,93,636,0.41728677733257,1
3680,1002,50,427,0.476047904191617,1
3681,2255,86,1201,0.570731707317073,0
3682,1530,94,649,0.48562091503268,1
3683,1665,110,684,0.476876876876877,1
4228,145,63,82,1,0
4229,691,35,483,0.749638205499276,0
89,1655,179,512,0.417522658610272,1
90,1378,70,493,0.408563134978229,1
91,1326,84,499,0.439668174962293,1
92,1070,20,428,0.418691588785047,0
93,2062,109,688,0.386517943743938,1
94,1955,36,742,0.397953964194373,0
95,2070,31,768,0.385990338164251,1
96,2167,74,711,0.362251961236733,1
97,967,11,407,0.432264736297828,0
212,2479,0,838,0.338039532069383,1
213,1923,8,559,0.294851794071763,0
214,1977,1,747,0.378351036924633,0
215,2175,15,692,0.325057471264368,1
216,1899,2,522,0.275934702474987,0
217,1957,9,501,0.26060296371998,1
218,2007,4,991,0.495764823119083,0
219,1784,10,425,0.243834080717489,0
220,2099,7,526,0.253930443068128,0
98,848,10,243,0.298349056603774,0
99,2265,2,614,0.2719646799117,1
100,1294,2,323,0.251159196290572,0
101,1615,3,376,0.234674922600619,1
102,312,16,95,0.355769230769231,0
103,1098,3,274,0.252276867030965,1
104,1627,4,466,0.288875230485556,1
105,2447,7,605,0.25010216591745,1
106,2313,16,629,0.278858625162127,1
107,1176,24,340,0.30952380952381,1
108,1974,4,579,0.295339412360689,1
109,2597,3,604,0.233731228340393,1
110,1199,1,250,0.209341117597998,0
111,1520,2,273,0.180921052631579,1
112,1017,11,390,0.394296951819076,0
113,1017,28,274,0.296951819075713,0
114,483,5,110,0.238095238095238,0
115,1537,37,521,0.363044892648016,1
116,934,32,258,0.310492505353319,0
117,703,48,174,0.315789473684211,0
118,737,19,178,0.26729986431479,0
119,1393,29,308,0.241923905240488,0
120,738,26,201,0.307588075880759,0
121,1193,54,337,0.327745180217938,0
122,789,39,199,0.301647655259823,0
123,1132,32,264,0.261484098939929,1
124,1161,17,225,0.208440999138674,0
125,570,15,108,0.215789473684211,0
126,523,14,120,0.256214149139579,0
127,584,37,152,0.323630136986301,0
128,1081,36,264,0.277520814061055,0
129,2561,5,794,0.311987504880906,0
2964,247,0,247,1,0
130,1318,3,301,0.230652503793627,1
131,1322,9,315,0.245083207261725,1
132,1306,9,397,0.310872894333844,0
133,1297,10,326,0.259059367771781,1
134,1222,8,292,0.245499181669394,0
135,1253,9,293,0.241021548284118,0
136,1243,14,324,0.271922767497989,0
137,1111,12,319,0.297929792979298,0
138,1308,8,318,0.249235474006116,1
139,1147,21,347,0.320836965998256,0
140,1036,32,312,0.332046332046332,0
141,1126,12,359,0.329484902309059,0
142,582,38,209,0.424398625429553,0
143,1302,16,403,0.321812596006144,1
144,1360,24,378,0.295588235294118,1
145,117,117,0,1,0
146,1215,9,273,0.232098765432099,0
147,986,2,256,0.261663286004057,0
148,425,46,379,1,0
149,1274,14,354,0.288854003139717,1
150,1414,8,425,0.306223479490806,1
151,1308,11,348,0.274464831804281,1
152,1431,14,336,0.244584206848358,1
153,1188,7,306,0.263468013468013,1
154,1249,28,381,0.327461969575661,1
155,1364,13,403,0.304985337243402,1
156,1017,23,238,0.256637168141593,1
157,1203,15,355,0.307564422277639,1
158,1448,18,364,0.263812154696133,1
159,1251,43,236,0.223021582733813,0
160,1312,22,341,0.276676829268293,1
161,1606,17,307,0.201743462017435,0
162,1114,5,322,0.293536804308797,0
163,1178,21,252,0.231748726655348,0
164,1319,13,277,0.21986353297953,0
165,639,13,175,0.294209702660407,0
166,1257,6,256,0.20843277645187,0
167,1021,4,248,0.246816846229187,0
168,1306,7,288,0.225880551301685,1
169,1288,14,302,0.245341614906832,1
170,101,0,101,1,0
171,1052,15,289,0.288973384030418,1
172,1251,14,311,0.259792166266986,0
173,1000,20,224,0.244,0
174,817,10,158,0.20563035495716,1
175,1153,83,446,0.458803122289679,0
176,770,45,279,0.420779220779221,0
177,953,20,248,0.281217208814271,0
178,964,90,326,0.431535269709544,0
179,571,41,117,0.276707530647986,0
180,1290,69,445,0.398449612403101,1
181,243,58,62,0.493827160493827,0
182,892,34,466,0.560538116591928,0
183,1423,42,333,0.263527758257203,1
184,1397,122,246,0.263421617752326,1
185,607,198,50,0.408566721581549,0
186,448,106,50,0.348214285714286,0
187,1103,82,230,0.28286491387126,1
188,603,60,156,0.358208955223881,0
189,225,83,19,0.453333333333333,0
